ProductID,ProductName,Category,UnitPrice,ProductDiscountPercent,ProductSupplierRegion
2000.0,Electronics-Be,Electronics,969.31,12.5,West
2001.0,Electronics-Be,Clothing,412.35,5.0,East
2002.0,Office-Family,Clothing,866.0,8.0,Central
2003.0,Electronics-Training,Clothing,385.18,15.0,South
2004.0,Office-Where,Home,927.25,10.0,West
2005.0,Office-Huge,Home,428.78,7.5,East
2006.0,Office-Class,Clothing,198.0,9.0,Central
2007.0,Clothing-Over,Electronics,583.39,11.0,South
2008.0,Electronics-Skin,Home,66.59,6.5,West
2009.0,Office-Raise,Clothing,66.31,4.0,East
2010.0,Electronics-Themselves,Clothing,77.84,13.0,South
2011.0,Electronics-Religious,Clothing,409.74,10.5,Central
2012.0,Clothing-Artist,Electronics,623.19,5.0,East
2013.0,Office-Cultural,Home,935.36,8.5,North
2014.0,Clothing-Eat,Home,246.3,9.5,West
2015.0,Office-Itself,Clothing,674.97,6.0,East
2016.0,Home-He,Office,323.02,12.0,Central
2017.0,Electronics-Feeling,Electronics,463.7,4.5,South
2018.0,Electronics-Nature,Electronics,542.26,11.5,West
2019.0,Home-History,Clothing,933.93,7.0,East
2020.0,Unknown,Clothing,375.83,9.0,Central
2021.0,Clothing-Skill,Office,835.41,5.5,South
2022.0,Home-Economy,Electronics,671.18,8.0,North
2023.0,Home-Yeah,Electronics,939.54,10.0,West
2024.0,Clothing-Paper,Home,124.27,6.5,East
2025.0,Electronics-Assume,Clothing,279.62,7.5,Central
2026.0,Clothing-Use,Home,211.56,14.0,South
2027.0,Home-Purpose,Office,258.61,9.0,North
2028.0,Electronics-Take,Electronics,637.94,5.0,East
2029.0,Home-Yourself,Electronics,13.51,10.5,Central
2030.0,Clothing-First,Home,169.97,11.0,West
2031.0,Office-Develop,Office,565.3,12.5,South
2032.0,Electronics-There,Electronics,945.6,8.0,North
2033.0,Clothing-Argue,Electronics,836.25,6.0,Central
2034.0,Clothing-Feel,Office,136.17,9.5,West
2035.0,Home-According,Home,899.99,7.5,East
2036.0,Electronics-Candidate,Home,217.98,13.0,South
2037.0,Clothing-Meeting,Electronics,360.14,10.0,West
2038.0,Office-Soon,Clothing,926.51,8.5,Central
2039.0,Clothing-Need,Clothing,976.44,6.0,East
2040.0,Clothing-Determine,Office,34.54,9.0,South
2041.0,Home-Assume,Office,804.21,5.5,West
2043.0,Electronics-Practice,Office,873.45,11.5,Central
2044.0,Office-Society,Clothing,207.58,8.0,South
2045.0,Office-Next,Home,312.14,6.5,East
2046.0,Clothing-Worry,Clothing,33.43,12.0,West
2048.0,Electronics-Candidate,Home,357.63,7.0,North
2049.0,Office-Easy,Home,939.84,8.5,East
2050.0,Electronics-Young,Home,186.78,10.5,South
2051.0,Home-Century,Electronics,117.32,5.0,West
2052.0,Office-Year,Home,731.26,6.5,Central
2053.0,Home-Ground,Office,610.15,9.0,North
2054.0,Electronics-Above,Office,9006578.51,7.5,East
2055.0,Clothing-Politics,Home,53.94,11.0,West
2056.0,Office-About,Electronics,524.72,8.0,South
2057.0,Clothing-Identify,Home,436.98,12.5,Central
2058.0,Home-Wear,Home,666.75,9.0,North
2059.0,Electronics-Clear,Home,512.05,5.5,West
2060.0,Office-Term,Home,408.38,10.0,South
2061.0,Home-Quite,Clothing,199.92,6.0,Central
2062.0,Office-Receive,Clothing,619.36567867,7.0,East
2063.0,Home-Good,Office,552.46,8.0,West
2064.0,Electronics-Stop,Home,294.04,11.0,South
2065.0,Office-Animal,Home,470.34,5.0,Central
2066.0,Office-Occur,Clot,0.0,0.0,Unknown
2067.0,Clothing-Remain,Electronics,290.95,7.5,West
2068.0,Home-Read,Electronics,820.24,8.5,North
2069.0,Clothing-Garden,Home,232.39,10.0,South
2070.0,Clothing-About,Clothing,34.18,12.0,East
2071.0,Clothing-Success,Office,615.16,6.0,West
2072.0,Electronics-Become,Office,420.3,9.0,Central
2073.0,Clothing-Executive,Office,499567867.43,8.5,South
2074.0,Clothing-Strong,Clothing,659.5,11.5,East
2075.0,Unknown,Electronics,780.64,7.0,North
2076.0,Clothing-Affect,Clothing,806.07,5.5,West
nan,Office-Ball,Electronics,561.83,10.0,South
2078.0,Electronics-Film,Office,142.01,6.5,Central
2079.0,Office-Who,Home,950.54,9.0,East
2080.0,Office-Doctor,Office,832.26,8.0,West
2081.0,Office-Light,Clothing,746.22,7.5,South
2082.0,Office-Figure,Office,266.6,10.5,North
2083.0,Clothing-Cut,Home,768.16,9.0,East
2084.0,Office-Stuff,Clothing,281.85,5.0,West
2085.0,Electronics-Officer,Home,242.15,12.0,South
2086.0,Home-Of,Home,894.1,6.5,Central
2087.0,Electronics-Rather,Clothing,159.32,9.5,East
2088.0,Office-Evening,Clothing,709.35,8.5,North
2089.0,Electronics-Action,Office,413.52,10.0,West
2090.0,Office-Staff,Office,71.64,7.0,East
2091.0,Office-Mrs,Office,905.79,6.0,South
2092.0,Electronics-Add,Office,482.21,11.0,Central
2093.0,Home-Real,Home,755.94,8.0,West
2094.0,Office-Fight,Clothing,493.35,5.5,North
2095.0,Home-Seem,Office,490.79,10.5,East
2096.0,Office-Discuss,Home,6725678.18,9.0,West
2097.0,Office-Recent,Clothing,842.1,12.5,South
2098.0,Clothing-Trouble,Electronics,907.86,7.0,Central
2099.0,Electronics-Several,Electronics,646.32,8.0,East
nan,Unknown,Unknown,0.0,0.0,Unknown
